AFG	Afghanistan	Lower																																					42352	42109	42144	42604	43607	44948	46560	48251	49951	51624	53136	54554	55656	56476	57023	57213	57295	57164	56892	56544	55903	54978	53814	52304	50715	48883	46960	44967	42995	41069	39176	37411	35672
AFG	Afghanistan	Median																																					48492	47726	47479	47797	48642	49969	51541	53283	55076	56804	58421	59833	60993	61910	62440	62726	62749	62614	62286	61804	61056	60036	58786	57378	55878	54309	52740	51219	49715	48237	46963	45771	44725
AFG	Afghanistan	Upper																																					55567	54316	53644	53679	54196	55545	57029	58839	60721	62457	64235	65636	66719	67648	68201	68575	68540	68442	68180	67554	66790	65733	64554	63182	61765	60440	59187	57851	56898	56006	55322	54890	54717
ALB	Albania	Lower																															995	970	947	937	908	888	864	833	816	799	767	721	688	677	662	639	601	563	534	500	462	416	375	338	301	265	232	201	178	164	167	178	184	187	189	193	198	201	201
ALB	Albania	Median																															1621	1517	1417	1330	1257	1205	1168	1130	1087	1041	997	956	922	885	848	811	774	732	688	639	590	541	491	442	395	349	306	269	237	216	207	207	209	210	212	215	218	221	222
ALB	Albania	Upper																															2582	2295	2060	1846	1696	1589	1535	1484	1407	1331	1260	1222	1177	1116	1059	1009	972	925	861	801	743	683	627	566	502	442	387	339	293	261	243	236	235	234	234	235	237	240	243
DZA	Algeria	Lower																					40160	40385	40254	39971	39535	38843	38140	37382	36529	35615	34190	32593	30600	28178	25765	23380	21500	20093	19031	18177	17355	16688	16030	15318	14640	13935	13323	12811	12400	12121	11911	11836	11914	12095	12325	12576	12869	13170	13427	13610	13682	13726	13753	13783	13737	13614	13395	13022	12500
DZA	Algeria	Median																					47561	47403	46909	46312	45521	44642	43619	42540	41346	40051	38491	36501	34060	31366	28544	25927	23771	22152	20960	20068	19354	18672	17929	17150	16323	15498	14746	14093	13570	13165	12949	12867	12923	13083	13255	13504	13838	14207	14539	14807	15001	15169	15344	15510	15635	15661	15550	15287	14897
DZA	Algeria	Upper																					56491	55830	54934	53551	52248	50993	49353	47820	46131	44350	42497	40206	37444	34336	31183	28339	25962	24199	22931	22012	21382	20721	19954	19042	18029	17049	16083	15238	14601	14122	13874	13775	13828	14016	14183	14467	14870	15298	15714	16074	16448	16812	17248	17641	17945	18094	18130	17966	17649
AND	Andorra	Lower																																									2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
AND	Andorra	Median																																									4	4	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
AND	Andorra	Upper																																									7	6	6	5	5	4	4	4	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1
AGO	Angola	Lower																																									26205	27189	28260	29181	30105	30975	31730	32315	32809	33166	33479	33509	33593	33188	32797	32215	31417	30428	29101	27805	26269	24514	22800	21121	19786	18622	17869	16968	16292
AGO	Angola	Median																																									32082	33037	33975	34916	35833	36768	37597	38367	39041	39565	39968	40324	40638	40808	40773	40561	40263	39942	39622	39259	38823	38297	37825	37355	36838	36480	36136	35922	35780
AGO	Angola	Upper																																									39686	40444	41267	42212	43165	44093	44995	45698	46824	47559	48099	48734	49146	49617	49946	50217	50864	51698	52756	54061	55434	57048	59102	60679	62227	63862	65496	67375	69107
ATG	Antigua and Barbuda	Lower																																									11	11	11	11	12	12	12	12	12	12	12	11	11	10	10	9	9	8	7	7	6	6	5	5	4	4	4	3	3
